[22:31:38.022] Namespace(root_path='../data/ACDC/ACDC_training_slices', dataset='ACDC', list_dir='./lists/lists_ACDC', num_classes=4, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, val_interval=0, is_pretrain=True, exp='TU_ACDC224')
[22:31:38.031] 54 iterations per epoch. 16200 max iterations 
[01:02:10.305] epoch 118/300  loss: 0.0209  loss_ce: 0.0083  lr: 0.006378  elapsed: 2.51h
[01:03:26.670] epoch 119/300  loss: 0.0207  loss_ce: 0.0082  lr: 0.006347  elapsed: 2.53h
[01:04:43.075] epoch 120/300  loss: 0.0207  loss_ce: 0.0082  lr: 0.006315  elapsed: 2.55h
[01:05:59.444] epoch 121/300  loss: 0.0207  loss_ce: 0.0082  lr: 0.006283  elapsed: 2.57h
[01:07:15.825] epoch 122/300  loss: 0.0207  loss_ce: 0.0082  lr: 0.006252  elapsed: 2.59h
[01:08:32.321] epoch 123/300  loss: 0.0205  loss_ce: 0.0081  lr: 0.006220  elapsed: 2.62h
[01:09:48.816] epoch 124/300  loss: 0.0207  loss_ce: 0.0082  lr: 0.006189  elapsed: 2.64h
[01:11:05.287] epoch 125/300  loss: 0.0205  loss_ce: 0.0081  lr: 0.006157  elapsed: 2.66h
[01:12:21.820] epoch 126/300  loss: 0.0207  loss_ce: 0.0082  lr: 0.006125  elapsed: 2.68h
[01:13:38.349] epoch 127/300  loss: 0.0205  loss_ce: 0.0081  lr: 0.006094  elapsed: 2.70h
[01:14:54.922] epoch 128/300  loss: 0.0204  loss_ce: 0.0080  lr: 0.006062  elapsed: 2.72h
[01:16:11.450] epoch 129/300  loss: 0.0202  loss_ce: 0.0080  lr: 0.006030  elapsed: 2.74h
[01:17:28.086] epoch 130/300  loss: 0.0200  loss_ce: 0.0079  lr: 0.005998  elapsed: 2.76h
[01:18:44.682] epoch 131/300  loss: 0.0201  loss_ce: 0.0080  lr: 0.005967  elapsed: 2.79h
[01:20:01.456] epoch 132/300  loss: 0.0202  loss_ce: 0.0080  lr: 0.005935  elapsed: 2.81h
[01:21:17.915] epoch 133/300  loss: 0.0201  loss_ce: 0.0080  lr: 0.005903  elapsed: 2.83h
[01:22:34.254] epoch 134/300  loss: 0.0202  loss_ce: 0.0080  lr: 0.005871  elapsed: 2.85h
[01:23:50.892] epoch 135/300  loss: 0.0203  loss_ce: 0.0080  lr: 0.005839  elapsed: 2.87h
[01:25:07.727] epoch 136/300  loss: 0.0199  loss_ce: 0.0079  lr: 0.005808  elapsed: 2.89h
[01:26:24.465] epoch 137/300  loss: 0.0199  loss_ce: 0.0079  lr: 0.005776  elapsed: 2.91h
[01:27:41.184] epoch 138/300  loss: 0.0199  loss_ce: 0.0078  lr: 0.005744  elapsed: 2.93h
[01:28:57.857] epoch 139/300  loss: 0.0203  loss_ce: 0.0081  lr: 0.005712  elapsed: 2.96h
[01:30:14.566] epoch 140/300  loss: 0.0200  loss_ce: 0.0079  lr: 0.005680  elapsed: 2.98h
[01:31:31.146] epoch 141/300  loss: 0.0198  loss_ce: 0.0079  lr: 0.005648  elapsed: 3.00h
[01:32:47.654] epoch 142/300  loss: 0.0197  loss_ce: 0.0078  lr: 0.005616  elapsed: 3.02h
[01:34:04.018] epoch 143/300  loss: 0.0200  loss_ce: 0.0079  lr: 0.005584  elapsed: 3.04h
[01:35:20.349] epoch 144/300  loss: 0.0195  loss_ce: 0.0078  lr: 0.005552  elapsed: 3.06h
[01:36:36.751] epoch 145/300  loss: 0.0196  loss_ce: 0.0078  lr: 0.005520  elapsed: 3.08h
[01:37:53.126] epoch 146/300  loss: 0.0195  loss_ce: 0.0077  lr: 0.005488  elapsed: 3.10h
[01:39:09.513] epoch 147/300  loss: 0.0198  loss_ce: 0.0078  lr: 0.005456  elapsed: 3.13h
[01:40:25.975] epoch 148/300  loss: 0.0197  loss_ce: 0.0078  lr: 0.005424  elapsed: 3.15h
[01:41:42.498] epoch 149/300  loss: 0.0199  loss_ce: 0.0079  lr: 0.005392  elapsed: 3.17h
[01:42:58.902] epoch 150/300  loss: 0.0194  loss_ce: 0.0077  lr: 0.005359  elapsed: 3.19h
[01:44:15.278] epoch 151/300  loss: 0.0196  loss_ce: 0.0078  lr: 0.005327  elapsed: 3.21h
[01:45:31.854] epoch 152/300  loss: 0.0195  loss_ce: 0.0077  lr: 0.005295  elapsed: 3.23h
[01:46:48.401] epoch 153/300  loss: 0.0194  loss_ce: 0.0077  lr: 0.005263  elapsed: 3.25h
[01:48:04.823] epoch 154/300  loss: 0.0194  loss_ce: 0.0077  lr: 0.005231  elapsed: 3.27h
[01:49:21.402] epoch 155/300  loss: 0.0196  loss_ce: 0.0077  lr: 0.005198  elapsed: 3.30h
[01:50:37.914] epoch 156/300  loss: 0.0195  loss_ce: 0.0077  lr: 0.005166  elapsed: 3.32h
[01:51:54.433] epoch 157/300  loss: 0.0193  loss_ce: 0.0076  lr: 0.005134  elapsed: 3.34h
[01:53:11.052] epoch 158/300  loss: 0.0193  loss_ce: 0.0077  lr: 0.005102  elapsed: 3.36h
[01:54:27.603] epoch 159/300  loss: 0.0192  loss_ce: 0.0077  lr: 0.005069  elapsed: 3.38h
[01:55:44.097] epoch 160/300  loss: 0.0192  loss_ce: 0.0076  lr: 0.005037  elapsed: 3.40h
[01:57:00.604] epoch 161/300  loss: 0.0193  loss_ce: 0.0076  lr: 0.005004  elapsed: 3.42h
[01:58:17.202] epoch 162/300  loss: 0.0191  loss_ce: 0.0076  lr: 0.004972  elapsed: 3.44h
[01:59:33.861] epoch 163/300  loss: 0.0192  loss_ce: 0.0076  lr: 0.004940  elapsed: 3.47h
[02:00:50.505] epoch 164/300  loss: 0.0189  loss_ce: 0.0075  lr: 0.004907  elapsed: 3.49h
[02:02:07.095] epoch 165/300  loss: 0.0190  loss_ce: 0.0075  lr: 0.004875  elapsed: 3.51h
[02:03:23.638] epoch 166/300  loss: 0.0192  loss_ce: 0.0076  lr: 0.004842  elapsed: 3.53h
[02:04:40.077] epoch 167/300  loss: 0.0190  loss_ce: 0.0075  lr: 0.004810  elapsed: 3.55h
[02:05:56.556] epoch 168/300  loss: 0.0192  loss_ce: 0.0076  lr: 0.004777  elapsed: 3.57h
[02:07:13.115] epoch 169/300  loss: 0.0192  loss_ce: 0.0076  lr: 0.004744  elapsed: 3.59h
[02:08:29.609] epoch 170/300  loss: 0.0190  loss_ce: 0.0075  lr: 0.004712  elapsed: 3.61h
[02:09:46.030] epoch 171/300  loss: 0.0189  loss_ce: 0.0075  lr: 0.004679  elapsed: 3.64h
[02:11:02.546] epoch 172/300  loss: 0.0189  loss_ce: 0.0075  lr: 0.004647  elapsed: 3.66h
[02:12:19.078] epoch 173/300  loss: 0.0190  loss_ce: 0.0075  lr: 0.004614  elapsed: 3.68h
[02:13:35.687] epoch 174/300  loss: 0.0189  loss_ce: 0.0075  lr: 0.004581  elapsed: 3.70h
[02:14:52.207] epoch 175/300  loss: 0.0186  loss_ce: 0.0074  lr: 0.004548  elapsed: 3.72h
[02:16:08.832] epoch 176/300  loss: 0.0187  loss_ce: 0.0074  lr: 0.004516  elapsed: 3.74h
[02:17:25.435] epoch 177/300  loss: 0.0186  loss_ce: 0.0074  lr: 0.004483  elapsed: 3.76h
[02:18:42.150] epoch 178/300  loss: 0.0187  loss_ce: 0.0074  lr: 0.004450  elapsed: 3.78h
[02:19:58.818] epoch 179/300  loss: 0.0185  loss_ce: 0.0073  lr: 0.004417  elapsed: 3.81h
[02:21:15.415] epoch 180/300  loss: 0.0186  loss_ce: 0.0074  lr: 0.004384  elapsed: 3.83h
[02:22:31.960] epoch 181/300  loss: 0.0184  loss_ce: 0.0073  lr: 0.004352  elapsed: 3.85h
[02:23:48.456] epoch 182/300  loss: 0.0186  loss_ce: 0.0074  lr: 0.004319  elapsed: 3.87h
[02:25:04.980] epoch 183/300  loss: 0.0186  loss_ce: 0.0074  lr: 0.004286  elapsed: 3.89h
[02:26:21.582] epoch 184/300  loss: 0.0186  loss_ce: 0.0074  lr: 0.004253  elapsed: 3.91h
[02:27:38.232] epoch 185/300  loss: 0.0184  loss_ce: 0.0073  lr: 0.004220  elapsed: 3.93h
[02:28:54.801] epoch 186/300  loss: 0.0184  loss_ce: 0.0073  lr: 0.004187  elapsed: 3.95h
[02:30:11.282] epoch 187/300  loss: 0.0186  loss_ce: 0.0073  lr: 0.004154  elapsed: 3.98h
[02:31:27.852] epoch 188/300  loss: 0.0185  loss_ce: 0.0073  lr: 0.004121  elapsed: 4.00h
[02:32:44.451] epoch 189/300  loss: 0.0183  loss_ce: 0.0072  lr: 0.004087  elapsed: 4.02h
[02:34:01.127] epoch 190/300  loss: 0.0183  loss_ce: 0.0073  lr: 0.004054  elapsed: 4.04h
[02:35:17.744] epoch 191/300  loss: 0.0186  loss_ce: 0.0074  lr: 0.004021  elapsed: 4.06h
[02:36:34.305] epoch 192/300  loss: 0.0185  loss_ce: 0.0074  lr: 0.003988  elapsed: 4.08h
[02:37:50.854] epoch 193/300  loss: 0.0185  loss_ce: 0.0073  lr: 0.003955  elapsed: 4.10h
[02:39:07.290] epoch 194/300  loss: 0.0181  loss_ce: 0.0072  lr: 0.003921  elapsed: 4.12h
[02:40:23.828] epoch 195/300  loss: 0.0183  loss_ce: 0.0073  lr: 0.003888  elapsed: 4.15h
[02:41:40.409] epoch 196/300  loss: 0.0182  loss_ce: 0.0072  lr: 0.003855  elapsed: 4.17h
[02:42:56.979] epoch 197/300  loss: 0.0183  loss_ce: 0.0073  lr: 0.003821  elapsed: 4.19h
[02:44:13.516] epoch 198/300  loss: 0.0183  loss_ce: 0.0073  lr: 0.003788  elapsed: 4.21h
[02:45:29.990] epoch 199/300  loss: 0.0182  loss_ce: 0.0072  lr: 0.003754  elapsed: 4.23h
[02:46:46.575] epoch 200/300  loss: 0.0182  loss_ce: 0.0072  lr: 0.003721  elapsed: 4.25h
[02:46:47.177] save model to ../model/TU_ACDC224/TU_pretrain_R50-ViT-B_16_skip3_epo300_bs24_224/epoch_199.pth
[02:48:03.647] epoch 201/300  loss: 0.0181  loss_ce: 0.0072  lr: 0.003688  elapsed: 4.27h
[02:49:20.102] epoch 202/300  loss: 0.0184  loss_ce: 0.0073  lr: 0.003654  elapsed: 4.30h
[02:50:36.663] epoch 203/300  loss: 0.0183  loss_ce: 0.0072  lr: 0.003620  elapsed: 4.32h
[02:51:53.163] epoch 204/300  loss: 0.0182  loss_ce: 0.0072  lr: 0.003587  elapsed: 4.34h
[02:53:09.753] epoch 205/300  loss: 0.0183  loss_ce: 0.0072  lr: 0.003553  elapsed: 4.36h
[02:54:26.321] epoch 206/300  loss: 0.0182  loss_ce: 0.0072  lr: 0.003520  elapsed: 4.38h
[02:55:42.856] epoch 207/300  loss: 0.0180  loss_ce: 0.0072  lr: 0.003486  elapsed: 4.40h
[02:56:59.444] epoch 208/300  loss: 0.0180  loss_ce: 0.0071  lr: 0.003452  elapsed: 4.42h
[02:58:16.146] epoch 209/300  loss: 0.0179  loss_ce: 0.0071  lr: 0.003418  elapsed: 4.44h
[02:59:32.696] epoch 210/300  loss: 0.0179  loss_ce: 0.0071  lr: 0.003384  elapsed: 4.47h
[03:00:49.207] epoch 211/300  loss: 0.0179  loss_ce: 0.0071  lr: 0.003351  elapsed: 4.49h
[03:02:05.693] epoch 212/300  loss: 0.0180  loss_ce: 0.0071  lr: 0.003317  elapsed: 4.51h
[03:03:22.147] epoch 213/300  loss: 0.0179  loss_ce: 0.0071  lr: 0.003283  elapsed: 4.53h
[03:04:38.612] epoch 214/300  loss: 0.0178  loss_ce: 0.0071  lr: 0.003249  elapsed: 4.55h
[03:05:55.190] epoch 215/300  loss: 0.0180  loss_ce: 0.0071  lr: 0.003215  elapsed: 4.57h
[03:07:11.831] epoch 216/300  loss: 0.0180  loss_ce: 0.0071  lr: 0.003181  elapsed: 4.59h
[03:08:28.411] epoch 217/300  loss: 0.0179  loss_ce: 0.0071  lr: 0.003147  elapsed: 4.61h
[03:09:44.969] epoch 218/300  loss: 0.0179  loss_ce: 0.0071  lr: 0.003113  elapsed: 4.64h
[03:11:01.458] epoch 219/300  loss: 0.0178  loss_ce: 0.0070  lr: 0.003078  elapsed: 4.66h
[03:12:18.015] epoch 220/300  loss: 0.0178  loss_ce: 0.0071  lr: 0.003044  elapsed: 4.68h
[03:13:34.481] epoch 221/300  loss: 0.0179  loss_ce: 0.0071  lr: 0.003010  elapsed: 4.70h
[03:14:51.156] epoch 222/300  loss: 0.0177  loss_ce: 0.0070  lr: 0.002976  elapsed: 4.72h
[03:16:07.766] epoch 223/300  loss: 0.0176  loss_ce: 0.0070  lr: 0.002941  elapsed: 4.74h
[03:17:24.278] epoch 224/300  loss: 0.0178  loss_ce: 0.0070  lr: 0.002907  elapsed: 4.76h
[03:18:40.770] epoch 225/300  loss: 0.0175  loss_ce: 0.0070  lr: 0.002872  elapsed: 4.78h
[03:19:57.279] epoch 226/300  loss: 0.0178  loss_ce: 0.0070  lr: 0.002838  elapsed: 4.81h
[03:21:13.815] epoch 227/300  loss: 0.0176  loss_ce: 0.0070  lr: 0.002803  elapsed: 4.83h
[03:22:30.349] epoch 228/300  loss: 0.0177  loss_ce: 0.0070  lr: 0.002769  elapsed: 4.85h
